annotated_time	inferred_time	samples
240	240.0	['GSM1606183']
270	264.0	['GSM1606184']
300	300.0	['GSM1606185']
330	333.0	['GSM1606186']
360	357.0	['GSM1606187']
390	381.0	['GSM1606188']
420	420.0	['GSM1606189']
450	444.0	['GSM1606190']
480	468.0	['GSM1606191']
510	498.0	['GSM1606192']
540	531.0	['GSM1606193']
570	561.0	['GSM1606194']
600	597.0	['GSM1606195']
630	630.0	['GSM1606196']
660	672.0	['GSM1606197']
690	672.0	['GSM1606198']
720	732.0	['GSM1606199']
750	759.0	['GSM1606200']
780	783.0	['GSM1606201']
810	792.0	['GSM1606202']
840	840.0	['GSM1606203']
870	873.0	['GSM1606204']
900	915.0	['GSM1606205']
930	945.0	['GSM1606206']
960	957.0	['GSM1606207']
990	981.0	['GSM1606208']
1020	1044.0	['GSM1606209']
1050	1059.0	['GSM1606210']
1080	1080.0	['GSM1606211']
1110	1086.0	['GSM1606212']
1140	1131.0	['GSM1606213']
1170	1182.0	['GSM1606214']
1200	1236.0	['GSM1606215']
1230	1242.0	['GSM1606216']
1260	1242.0	['GSM1606217']
1290	1242.0	['GSM1606218']
1320	1350.0	['GSM1606219']
1350	1350.0	['GSM1606220']
1380	1359.0	['GSM1606221']
1410	1359.0	['GSM1606222']
1440	1437.0	['GSM1606223']
1500	1572.0	['GSM1606224']
1560	1572.0	['GSM1606225']
1620	1572.0	['GSM1606226']
1680	1680.0	['GSM1606227']
1740	1680.0	['GSM1606228']
1800	1908.0	['GSM1606229']
1860	1908.0	['GSM1606230']
1920	1908.0	['GSM1606231']
1980	1956.0	['GSM1606232']
2040	2052.0	['GSM1606233']
2100	2112.0	['GSM1606234']
2160	2112.0	['GSM1606235']
