sample	time
GSM1606183	240
GSM1606184	270
GSM1606185	300
GSM1606186	330
GSM1606187	360
GSM1606188	390
GSM1606189	420
GSM1606190	450
GSM1606191	480
GSM1606192	510
GSM1606193	540
GSM1606194	570
GSM1606195	600
GSM1606196	630
GSM1606197	660
GSM1606198	690
GSM1606199	720
GSM1606200	750
GSM1606201	780
GSM1606202	810
GSM1606203	840
GSM1606204	870
GSM1606205	900
GSM1606206	930
GSM1606207	960
GSM1606208	990
GSM1606209	1020
GSM1606210	1050
GSM1606211	1080
GSM1606212	1110
GSM1606213	1140
GSM1606214	1170
GSM1606215	1200
GSM1606216	1230
GSM1606217	1260
GSM1606218	1290
GSM1606219	1320
GSM1606220	1350
GSM1606221	1380
GSM1606222	1410
GSM1606223	1440
GSM1606224	1500
GSM1606225	1560
GSM1606226	1620
GSM1606227	1680
GSM1606228	1740
GSM1606229	1800
GSM1606230	1860
GSM1606231	1920
GSM1606232	1980
GSM1606233	2040
GSM1606234	2100
GSM1606235	2160
